source,target,weight
Byroney_WebMD_Staff,GingerKohler,10
Byroney_WebMD_Staff,GirlscoutMomma,1
Byroney_WebMD_Staff,dafamily4,1
Byroney_WebMD_Staff,zanychick,2
Byroney_WebMD_Staff,robert_cameron_jr,10
Byroney_WebMD_Staff,LuvMe123,1
Byroney_WebMD_Staff,lovespainting,1
Byroney_WebMD_Staff,LesaH,2
Byroney_WebMD_Staff,AddMoma,8
Byroney_WebMD_Staff,gary0521,1
Byroney_WebMD_Staff,emrldeyz80,2
Byroney_WebMD_Staff,exintrovert,6
Byroney_WebMD_Staff,Whatever_123,1
Byroney_WebMD_Staff,carter66,2
Byroney_WebMD_Staff,zooman2012,5
Byroney_WebMD_Staff,JerEderd,1
Byroney_WebMD_Staff,kendyf,2
Byroney_WebMD_Staff,china_cat84,3
Byroney_WebMD_Staff,ADubsHD,1
Byroney_WebMD_Staff,Ladybug17331,2
Byroney_WebMD_Staff,Rkinch,3
Byroney_WebMD_Staff,roselp,1
Byroney_WebMD_Staff,Manoa888,1
Byroney_WebMD_Staff,sandie_law,3
Byroney_WebMD_Staff,akerlin,1
Byroney_WebMD_Staff,ndnbutterfly,1
Byroney_WebMD_Staff,tammylg,2
Byroney_WebMD_Staff,Bluinkgirl,1
Byroney_WebMD_Staff,njohnson1975,1
Byroney_WebMD_Staff,tedikay87,2
Byroney_WebMD_Staff,steve4545,1
Byroney_WebMD_Staff,Radioboy1967,1
Byroney_WebMD_Staff,court1204,1
Byroney_WebMD_Staff,cnycarnut,2
Byroney_WebMD_Staff,sprogers,13
Byroney_WebMD_Staff,swatts9155,1
Byroney_WebMD_Staff,educator2000,1
Byroney_WebMD_Staff,BurnSith,2
Byroney_WebMD_Staff,MIHyper,10
Byroney_WebMD_Staff,pixie1021,1
Byroney_WebMD_Staff,2kittyBiddy,1
Byroney_WebMD_Staff,takenrn1130,2
Byroney_WebMD_Staff,hyperallison,10
Byroney_WebMD_Staff,brokenspur64,1
Byroney_WebMD_Staff,dawn_believes,1
Byroney_WebMD_Staff,jkirk2112,2
Byroney_WebMD_Staff,rocket28,8
Byroney_WebMD_Staff,ihaveonetoo,1
Byroney_WebMD_Staff,raeraegirl,2
Byroney_WebMD_Staff,pushingforward,5
Byroney_WebMD_Staff,jenlynnand,1
Byroney_WebMD_Staff,Clever_Jackal,2
Byroney_WebMD_Staff,;,5
Byroney_WebMD_Staff,Whoami1968,1
InTheSun,court1204,1
InTheSun,cnycarnut,2
InTheSun,sprogers,11
InTheSun,GirlscoutMomma,1
InTheSun,educator2000,1
InTheSun,BurnSith,2
InTheSun,MIHyper,9
InTheSun,LuvMe123,1
InTheSun,2kittyBiddy,1
InTheSun,takenrn1130,2
InTheSun,hyperallison,9
InTheSun,gary0521,1
InTheSun,dawn_believes,1
InTheSun,jkirk2112,2
InTheSun,rocket28,7
InTheSun,Whatever_123,1
InTheSun,raeraegirl,2
InTheSun,pushingforward,5
InTheSun,JerEderd,1
InTheSun,Clever_Jackal,2
InTheSun,;,4
InTheSun,ADubsHD,1
InTheSun,favoredchild1,2
InTheSun,ChristianAngel09,3
InTheSun,roselp,1
InTheSun,middleaged1954,1
InTheSun,llLeoll,3
InTheSun,akerlin,1
InTheSun,hairdiva1969,1
InTheSun,Savage223,3
InTheSun,Bluinkgirl,1
InTheSun,nokhodchi,1
InTheSun,duzzy4,2
InTheSun,steve4545,1
InTheSun,Radioboy1967,1
InTheSun,jlcarter1,1
InTheSun,iGitEm,2
InTheSun,dogsnbikes,67
InTheSun,swatts9155,1
InTheSun,Erik0105,1
InTheSun,LadyRoses;,2
InTheSun,sb1958,9
InTheSun,pixie1021,1
InTheSun,Squick1958,1
InTheSun,edwagallag;,2
InTheSun,allisonludwig,9
InTheSun,brokenspur64,1
InTheSun,WifeofADHDhusband,1
InTheSun,PrettyKitty123,2
InTheSun,baughc,8
InTheSun,ihaveonetoo,1
InTheSun,canttrustit,2
InTheSun,Jeaniac,7
InTheSun,jenlynnand,1
InTheSun,ProudDad3,2
InTheSun,Pennynicole,5
InTheSun,Whoami1968,1
InTheSun,RoseDakota,2
InTheSun,XsarrowXsoulX,4
InTheSun,AshleyNicholas,1
InTheSun,Getawayplan,2
InTheSun,kingdavidsbaby,3
InTheSun,rubberduckybug,1
InTheSun,acrylic67,1
InTheSun,wickedabby,3
InTheSun,SwEetCanDee,1
InTheSun,MLPena,1
InTheSun,2GreyCats,2
InTheSun,OrangeRanda,1
InTheSun,barsydee,1
InTheSun,mama2dsg,2
InTheSun,Dulce316,82
InTheSun,Heartsongs,1
InTheSun,plantflowers,1
InTheSun,marsh_mellow,2
InTheSun,savvy24,50
InTheSun,nataliemays,1
InTheSun,_Faustus_,1
InTheSun,Xx_Indigo_xX,2
InTheSun,GingerKohler,9
InTheSun,momscrazyw2livelybabes,1
InTheSun,dafamily4,1
InTheSun,zanychick,2
InTheSun,robert_cameron_jr,9
InTheSun,addmomx4,1
InTheSun,lovespainting,1
InTheSun,LesaH,2
InTheSun,AddMoma,7
InTheSun,Databit,1
InTheSun,emrldeyz80,2
InTheSun,exintrovert,6
InTheSun,zsolzai,1
InTheSun,carter66,2
InTheSun,zooman2012,4
InTheSun,Piper85,1
InTheSun,kendyf,2
InTheSun,china_cat84,3
InTheSun,Cleopatrah,1
InTheSun,Ladybug17331,1
InTheSun,Rkinch,3
InTheSun,Ev111,1
InTheSun,Manoa888,1
InTheSun,sandie_law,3
InTheSun,klh710,1
InTheSun,ndnbutterfly,1
InTheSun,tammylg,2
InTheSun,Tom83,1
InTheSun,njohnson1975,1
InTheSun,tedikay87,2
InTheSun,33andADHD,68
InTheSun,PenP,1
sydbean6464,RoseDakota,2
sydbean6464,XsarrowXsoulX,4
sydbean6464,AshleyNicholas,1
sydbean6464,Getawayplan,2
sydbean6464,kingdavidsbaby,3
sydbean6464,rubberduckybug,1
sydbean6464,acrylic67,1
sydbean6464,wickedabby,3
sydbean6464,SwEetCanDee,1
sydbean6464,MLPena,1
sydbean6464,2GreyCats,2
sydbean6464,OrangeRanda,1
sydbean6464,barsydee,1
sydbean6464,mama2dsg,2
sydbean6464,InTheSun,3130
sydbean6464,Heartsongs,1
sydbean6464,plantflowers,1
sydbean6464,marsh_mellow,2
sydbean6464,savvy24,49
sydbean6464,nataliemays,1
sydbean6464,_Faustus_,1
sydbean6464,Xx_Indigo_xX,2
sydbean6464,GingerKohler,9
sydbean6464,momscrazyw2livelybabes,1
sydbean6464,dafamily4,1
sydbean6464,zanychick,2
sydbean6464,robert_cameron_jr,9
sydbean6464,addmomx4,1
sydbean6464,lovespainting,1
sydbean6464,LesaH,2
sydbean6464,AddMoma,7
sydbean6464,Databit,1
sydbean6464,emrldeyz80,2
sydbean6464,exintrovert,6
sydbean6464,zsolzai,1
sydbean6464,carter66,2
sydbean6464,zooman2012,4
sydbean6464,Piper85,1
sydbean6464,kendyf,2
sydbean6464,china_cat84,3
sydbean6464,Cleopatrah,1
sydbean6464,Ladybug17331,1
sydbean6464,Rkinch,3
sydbean6464,Ev111,1
sydbean6464,Manoa888,1
sydbean6464,sandie_law,3
sydbean6464,klh710,1
sydbean6464,ndnbutterfly,1
sydbean6464,tammylg,2
sydbean6464,Tom83,1
sydbean6464,njohnson1975,1
sydbean6464,tedikay87,2
sydbean6464,Dulce316,80
sydbean6464,PenP,1
sydbean6464,court1204,1
sydbean6464,cnycarnut,2
sydbean6464,sprogers,11
sydbean6464,GirlscoutMomma,1
sydbean6464,educator2000,1
sydbean6464,BurnSith,2
sydbean6464,MIHyper,9
sydbean6464,LuvMe123,1
sydbean6464,2kittyBiddy,1
sydbean6464,takenrn1130,2
sydbean6464,hyperallison,9
sydbean6464,gary0521,1
sydbean6464,dawn_believes,1
sydbean6464,jkirk2112,2
sydbean6464,rocket28,7
sydbean6464,Whatever_123,1
sydbean6464,raeraegirl,2
sydbean6464,pushingforward,5
sydbean6464,JerEderd,1
sydbean6464,Clever_Jackal,2
sydbean6464,;,4
sydbean6464,ADubsHD,1
sydbean6464,favoredchild1,2
sydbean6464,ChristianAngel09,3
sydbean6464,roselp,1
sydbean6464,middleaged1954,1
sydbean6464,llLeoll,3
sydbean6464,akerlin,1
sydbean6464,hairdiva1969,1
sydbean6464,Savage223,3
sydbean6464,Bluinkgirl,1
sydbean6464,nokhodchi,1
sydbean6464,duzzy4,2
sydbean6464,steve4545,1
sydbean6464,Radioboy1967,1
sydbean6464,jlcarter1,1
sydbean6464,iGitEm,2
sydbean6464,dogsnbikes,65
sydbean6464,swatts9155,1
sydbean6464,Erik0105,1
sydbean6464,LadyRoses;,2
sydbean6464,sb1958,9
sydbean6464,pixie1021,1
sydbean6464,Squick1958,1
sydbean6464,edwagallag;,2
sydbean6464,allisonludwig,9
sydbean6464,brokenspur64,1
sydbean6464,WifeofADHDhusband,1
sydbean6464,PrettyKitty123,2
sydbean6464,baughc,8
sydbean6464,ihaveonetoo,1
sydbean6464,canttrustit,2
sydbean6464,Jeaniac,7
sydbean6464,jenlynnand,1
sydbean6464,ProudDad3,2
sydbean6464,Pennynicole,5
sydbean6464,Whoami1968,1
Sway35,cnycarnut,2
Sway35,savvy24,25
Sway35,GirlscoutMomma,1
Sway35,court1204,1
Sway35,BurnSith,2
Sway35,MIHyper,8
Sway35,LuvMe123,1
Sway35,educator2000,1
Sway35,takenrn1130,2
Sway35,hyperallison,7
Sway35,gary0521,1
Sway35,2kittyBiddy,1
Sway35,jkirk2112,2
Sway35,rocket28,6
Sway35,Whatever_123,1
Sway35,dawn_believes,1
Sway35,raeraegirl,2
Sway35,pushingforward,5
Sway35,JerEderd,1
Sway35,Clever_Jackal,2
Sway35,;,4
Sway35,ADubsHD,1
Sway35,favoredchild1,1
Sway35,ChristianAngel09,3
Sway35,roselp,1
Sway35,middleaged1954,1
Sway35,llLeoll,3
Sway35,akerlin,1
Sway35,hairdiva1969,1
Sway35,Savage223,2
Sway35,Bluinkgirl,1
Sway35,nokhodchi,1
Sway35,duzzy4,2
Sway35,steve4545,1
Sway35,Radioboy1967,1
Sway35,jlcarter1,1
Sway35,iGitEm,2
Sway35,Dulce316,30
Sway35,swatts9155,1
Sway35,LadyRoses;,2
Sway35,sprogers,9
Sway35,pixie1021,1
Sway35,Erik0105,1
Sway35,edwagallag;,2
Sway35,allisonludwig,8
Sway35,brokenspur64,1
Sway35,Squick1958,1
Sway35,PrettyKitty123,2
Sway35,baughc,7
Sway35,ihaveonetoo,1
Sway35,WifeofADHDhusband,1
Sway35,canttrustit,2
Sway35,Jeaniac,6
Sway35,jenlynnand,1
Sway35,ProudDad3,2
Sway35,Pennynicole,4
Sway35,Whoami1968,1
Sway35,RoseDakota,2
Sway35,XsarrowXsoulX,4
Sway35,AshleyNicholas,1
Sway35,Getawayplan,1
Sway35,kingdavidsbaby,3
Sway35,rubberduckybug,1
Sway35,acrylic67,1
Sway35,wickedabby,3
Sway35,SwEetCanDee,1
Sway35,MLPena,1
Sway35,2GreyCats,2
Sway35,OrangeRanda,1
Sway35,barsydee,1
Sway35,mama2dsg,2
Sway35,sydbean6464,49
Sway35,Heartsongs,1
Sway35,marsh_mellow,2
Sway35,dogsnbikes,28
Sway35,nataliemays,1
Sway35,plantflowers,1
Sway35,Xx_Indigo_xX,2
Sway35,sb1958,8
Sway35,momscrazyw2livelybabes,1
Sway35,_Faustus_,1
Sway35,zanychick,2
Sway35,robert_cameron_jr,8
Sway35,addmomx4,1
Sway35,dafamily4,1
Sway35,LesaH,2
Sway35,AddMoma,6
Sway35,Databit,1
Sway35,lovespainting,1
Sway35,emrldeyz80,2
Sway35,exintrovert,5
Sway35,zsolzai,1
Sway35,carter66,2
Sway35,zooman2012,4
Sway35,Piper85,1
Sway35,kendyf,2
Sway35,china_cat84,3
Sway35,Cleopatrah,1
Sway35,Ladybug17331,1
Sway35,Rkinch,3
Sway35,Ev111,1
Sway35,Manoa888,1
Sway35,sandie_law,3
Sway35,klh710,1
Sway35,ndnbutterfly,1
Sway35,tammylg,2
Sway35,Tom83,1
Sway35,njohnson1975,1
Sway35,tedikay87,2
Sway35,InTheSun,48
Sway35,PenP,1
Byroney_WebMD_Staff,Sway35,794
Byroney_WebMD_Staff,sydbean6464,46
Byroney_WebMD_Staff,InTheSun,45
1000dfrntdirections,favoredchild1,1
1000dfrntdirections,ChristianAngel09,3
1000dfrntdirections,rubberduckybug,1
1000dfrntdirections,middleaged1954,1
1000dfrntdirections,llLeoll,3
1000dfrntdirections,SwEetCanDee,1
1000dfrntdirections,hairdiva1969,1
1000dfrntdirections,Savage223,2
1000dfrntdirections,OrangeRanda,1
1000dfrntdirections,nokhodchi,1
1000dfrntdirections,duzzy4,2
1000dfrntdirections,Sway35,785
1000dfrntdirections,Heartsongs,1
1000dfrntdirections,jlcarter1,1
1000dfrntdirections,iGitEm,2
1000dfrntdirections,Dulce316,29
1000dfrntdirections,nataliemays,1
1000dfrntdirections,Erik0105,1
1000dfrntdirections,LadyRoses;,2
1000dfrntdirections,sprogers,9
1000dfrntdirections,momscrazyw2livelybabes,1
1000dfrntdirections,Squick1958,1
1000dfrntdirections,edwagallag;,2
1000dfrntdirections,allisonludwig,7
1000dfrntdirections,addmomx4,1
1000dfrntdirections,WifeofADHDhusband,1
1000dfrntdirections,PrettyKitty123,2
1000dfrntdirections,baughc,7
1000dfrntdirections,Databit,1
1000dfrntdirections,canttrustit,2
1000dfrntdirections,Jeaniac,6
1000dfrntdirections,zsolzai,1
1000dfrntdirections,ProudDad3,2
1000dfrntdirections,Pennynicole,4
1000dfrntdirections,Piper85,1
1000dfrntdirections,RoseDakota,2
1000dfrntdirections,XsarrowXsoulX,4
1000dfrntdirections,Cleopatrah,1
1000dfrntdirections,Getawayplan,1
1000dfrntdirections,kingdavidsbaby,3
1000dfrntdirections,Ev111,1
1000dfrntdirections,acrylic67,1
1000dfrntdirections,wickedabby,3
1000dfrntdirections,klh710,1
1000dfrntdirections,MLPena,1
1000dfrntdirections,2GreyCats,2
1000dfrntdirections,Tom83,1
1000dfrntdirections,barsydee,1
1000dfrntdirections,mama2dsg,2
1000dfrntdirections,sydbean6464,46
1000dfrntdirections,PenP,1
1000dfrntdirections,plantflowers,1
1000dfrntdirections,marsh_mellow,2
1000dfrntdirections,dogsnbikes,27
1000dfrntdirections,GirlscoutMomma,1
1000dfrntdirections,_Faustus_,1
1000dfrntdirections,Xx_Indigo_xX,2
1000dfrntdirections,sb1958,8
1000dfrntdirections,LuvMe123,1
1000dfrntdirections,dafamily4,1
1000dfrntdirections,zanychick,2
1000dfrntdirections,robert_cameron_jr,7
1000dfrntdirections,gary0521,1
1000dfrntdirections,lovespainting,1
1000dfrntdirections,LesaH,2
1000dfrntdirections,AddMoma,6
1000dfrntdirections,Whatever_123,1
1000dfrntdirections,emrldeyz80,2
1000dfrntdirections,exintrovert,5
1000dfrntdirections,JerEderd,1
1000dfrntdirections,carter66,2
1000dfrntdirections,zooman2012,4
1000dfrntdirections,ADubsHD,1
1000dfrntdirections,kendyf,2
1000dfrntdirections,china_cat84,3
1000dfrntdirections,roselp,1
1000dfrntdirections,Ladybug17331,1
1000dfrntdirections,Rkinch,3
1000dfrntdirections,akerlin,1
1000dfrntdirections,Manoa888,1
1000dfrntdirections,sandie_law,3
1000dfrntdirections,Bluinkgirl,1
1000dfrntdirections,ndnbutterfly,1
1000dfrntdirections,tammylg,2
1000dfrntdirections,steve4545,1
1000dfrntdirections,Radioboy1967,1
1000dfrntdirections,njohnson1975,1
1000dfrntdirections,tedikay87,2
1000dfrntdirections,InTheSun,45
1000dfrntdirections,swatts9155,1
1000dfrntdirections,court1204,1
1000dfrntdirections,cnycarnut,2
1000dfrntdirections,savvy24,24
1000dfrntdirections,pixie1021,1
1000dfrntdirections,educator2000,1
1000dfrntdirections,BurnSith,2
1000dfrntdirections,MIHyper,8
1000dfrntdirections,brokenspur64,1
1000dfrntdirections,2kittyBiddy,1
1000dfrntdirections,takenrn1130,2
1000dfrntdirections,hyperallison,7
1000dfrntdirections,ihaveonetoo,1
1000dfrntdirections,dawn_believes,1
1000dfrntdirections,jkirk2112,2
1000dfrntdirections,rocket28,6
1000dfrntdirections,jenlynnand,1
1000dfrntdirections,raeraegirl,2
1000dfrntdirections,pushingforward,4
1000dfrntdirections,Whoami1968,1
1000dfrntdirections,Clever_Jackal,2
1000dfrntdirections,;,4
1000dfrntdirections,AshleyNicholas,1
Byroney_WebMD_Staff,1000dfrntdirections,841
dogsnbikes,Byroney_WebMD_Staff,22
InTheSun,Byroney_WebMD_Staff,17
sydbean6464,Byroney_WebMD_Staff,16
Sway35,Byroney_WebMD_Staff,12
33andADHD,1000dfrntdirections,16
Byroney_WebMD_Staff,Galaqueen,16
33andADHD,Beauregard25,16
Byroney_WebMD_Staff,Beauregard25,16
Lion_Lady,findingmyplace,15
Byroney_WebMD_Staff,Lion_Lady,2478
Byroney_WebMD_Staff,findingmyplace,15
Byroney_WebMD_Staff,Bianca_Thompson,15
tornado_scott,Byroney_WebMD_Staff,58
Bianca_Thompson,Byroney_WebMD_Staff,47
Bianca_Thompson,tornado_scott,236
tornado_scott,tornado_scott,223
tornado_scott,Bianca_Thompson,12
Bianca_Thompson,Bianca_Thompson,12
gotbaka,Byroney_WebMD_Staff,479
33andADHD,gotbaka,1325
realbiglu,gotbaka,1118
realbiglu,Byroney_WebMD_Staff,335
gotbaka,33andADHD,14
realbiglu,33andADHD,14
linzybinzy,jamieafischer,14
33andADHD,linzybinzy,5510
Handyman45,33andADHD,250
Handyman45,linzybinzy,239
tornado_scott,Handyman45,118
tornado_scott,33andADHD,80
tornado_scott,linzybinzy,79
33andADHD,jamieafischer,14
Handyman45,jamieafischer,14
tornado_scott,jamieafischer,12
Byroney_WebMD_Staff,realbiglu,13
choo_chu,1000dfrntdirections,13
tornado_scott,choo_chu,192
tornado_scott,1000dfrntdirections,12
Byroney_WebMD_Staff,LanaADHD,12
tornado_scott,Sway35,12
tornado_scott,EARTHANGEL1970,12
EARTHANGEL1970,tornado_scott,35091
EARTHANGEL1970,EARTHANGEL1970,12
watertoys,cweinbl,1
watertoys,sarahb1972,1
cweinbl,cweinbl,1
cweinbl,watertoys,1035
cweinbl,sarahb1972,1
fineb405,watertoys,1022
fineb405,sarahb1972,1
fineb405,cweinbl,1
watertoys,lgtc,5
cweinbl,lgtc,5
fineb405,lgtc,5
kkl05,freedom1960,1
kkl05,purplebutterflytg,2
kkl05,boss302kirk,1
greg8846,greg8846,3396
greg8846,boss302kirk,1
greg8846,kkl05,2535
greg8846,freedom1960,1
greg8846,purplebutterflytg,2
corlaw,greg8846,2954
corlaw,boss302kirk,1
corlaw,kkl05,2281
corlaw,freedom1960,1
corlaw,purplebutterflytg,2
corlaw,corlaw,117783
gailb54,kkl05,2116
gailb54,freedom1960,1
gailb54,corlaw,28988
gailb54,purplebutterflytg,2
gailb54,greg8846,2685
gailb54,boss302kirk,1
greg8846,corlaw,10811
greg8846,gailb54,17094
annette030,corlaw,492
annette030,purplebutterflytg,2
annette030,greg8846,422
annette030,boss302kirk,1
annette030,gailb54,501
annette030,kkl05,405
annette030,freedom1960,1
kkl05,ConstantPain1984,4
greg8846,ConstantPain1984,4
corlaw,ConstantPain1984,4
gailb54,ConstantPain1984,4
annette030,ConstantPain1984,4
CBR1000RR,Bgreenst,3
CBR1000RR,rudnxtx,3
CBR1000RR,cweinbl,3
CBR1000RR,flowersblue,3
CBR1000RR,fibropain1,3
CBR1000RR,MegElaine8,3
CBR1000RR,Sherri1147,10
CBR1000RR,istherehelpoutthere,7
CBR1000RR,debefc,7
CBR1000RR,kjacangles,5
CBR1000RR,JohnProf,5
CBR1000RR,kimwood1,5
CBR1000RR,Oaklee,3
CBR1000RR,savvenire,3
CBR1000RR,bluester10,3
CBR1000RR,freedom1960,3
CBR1000RR,Arrow84,3
CBR1000RR,tkmunley,11
CBR1000RR,annette030,3
CBR1000RR,Caprice_WebMD_Staff,7
CBR1000RR,chronicpaingirl,7
CBR1000RR,missbeppy,5
CBR1000RR,teresakitty2,5
CBR1000RR,freerhon,5
CBR1000RR,tello81,4
CBR1000RR,mind_situation,3
CBR1000RR,_swank_,3
CBR1000RR,msmachetti,3
CBR1000RR,MsBunky,3
CBR1000RR,mbingaman,3
CBR1000RR,Barefooter77,10
CBR1000RR,butterfly_gurl,3
CBR1000RR,charity1234,7
CBR1000RR,jsbuttercup,7
CBR1000RR,Bauxitemim,5
CBR1000RR,Anneymay54,5
CBR1000RR,MtrSims,5
corlaw,_swank_,3
corlaw,msmachetti,3
corlaw,fibropain1,3
corlaw,MegElaine8,3
corlaw,Barefooter77,10
corlaw,charity1234,7
corlaw,jsbuttercup,7
corlaw,Bauxitemim,5
corlaw,Anneymay54,5
corlaw,MtrSims,5
corlaw,Bgreenst,3
corlaw,rudnxtx,3
corlaw,cweinbl,3
corlaw,flowersblue,3
corlaw,Arrow84,3
corlaw,CBR1000RR,3317
corlaw,annette030,3
corlaw,Sherri1147,10
corlaw,istherehelpoutthere,7
corlaw,debefc,7
corlaw,kjacangles,5
corlaw,JohnProf,5
corlaw,kimwood1,5
corlaw,Oaklee,3
corlaw,savvenire,3
corlaw,bluester10,3
corlaw,MsBunky,3
corlaw,mbingaman,3
corlaw,tkmunley,11
corlaw,butterfly_gurl,3
corlaw,Caprice_WebMD_Staff,7
corlaw,chronicpaingirl,7
corlaw,missbeppy,5
corlaw,teresakitty2,5
corlaw,freerhon,5
corlaw,tello81,4
corlaw,mind_situation,3
Brooklynnite,CBR1000RR,804
Brooklynnite,fibropain1,3
Brooklynnite,Sherri1147,10
Brooklynnite,MegElaine8,3
Brooklynnite,istherehelpoutthere,7
Brooklynnite,debefc,7
Brooklynnite,kjacangles,5
Brooklynnite,JohnProf,5
Brooklynnite,kimwood1,4
Brooklynnite,Oaklee,3
Brooklynnite,savvenire,3
Brooklynnite,bluester10,3
Brooklynnite,freedom1960,3
Brooklynnite,tkmunley,11
Brooklynnite,Arrow84,3
Brooklynnite,Caprice_WebMD_Staff,7
Brooklynnite,annette030,3
Brooklynnite,chronicpaingirl,7
Brooklynnite,missbeppy,5
Brooklynnite,teresakitty2,5
Brooklynnite,freerhon,5
Brooklynnite,tello81,4
Brooklynnite,mind_situation,3
Brooklynnite,_swank_,3
Brooklynnite,msmachetti,3
Brooklynnite,corlaw,1062
Brooklynnite,MsBunky,3
Brooklynnite,Barefooter77,10
Brooklynnite,mbingaman,3
Brooklynnite,charity1234,7
Brooklynnite,butterfly_gurl,3
Brooklynnite,jsbuttercup,7
Brooklynnite,Bauxitemim,5
Brooklynnite,Anneymay54,5
Brooklynnite,MtrSims,5
Brooklynnite,Bgreenst,3
Brooklynnite,rudnxtx,3
Brooklynnite,cweinbl,3
Brooklynnite,flowersblue,3
CBR1000RR,jessdes,4
corlaw,jessdes,4
Brooklynnite,jessdes,4
Hondaddy,MartinD42,27
Hondaddy,arnie88,9
Hondaddy,Bleuizes,7
Hondaddy,LuxuryCar50,6
Hondaddy,rico903,6
Hondaddy,teresakitty2,6
Hondaddy,chkppam,5
Hondaddy,dayprogal,5
Hondaddy,denz7,5
Hondaddy,smilecd,4
Hondaddy,mlbbarry,11
Hondaddy,firefly0576,9
Hondaddy,12bucks,6
Hondaddy,subutexstacy,6
Hondaddy,TDXSP08,6
Hondaddy,forcep,6
Hondaddy,PJohns,5
Hondaddy,freedom1960,5
Hondaddy,kidsfulltimejob,5
Hondaddy,cweinbl,4
Hondaddy,PainManager007,47
Hondaddy,brooklynn45,10
Hondaddy,flacoman954,9
Hondaddy,tonihaire,6
Hondaddy,StarSweptBaby,6
Hondaddy,SilverLynn,6
Hondaddy,millivan,5
Hondaddy,Jaxlast,5
Hondaddy,delphitfg,5
Hondaddy,annette030,4
Hondaddy,littletwister1963,4
Brooklynnite,PainManager007,43
Brooklynnite,brooklynn45,10
Brooklynnite,flacoman954,9
Brooklynnite,tonihaire,6
Brooklynnite,StarSweptBaby,6
Brooklynnite,SilverLynn,6
Brooklynnite,chkppam,5
Brooklynnite,dayprogal,5
Brooklynnite,kidsfulltimejob,5
Brooklynnite,MartinD42,25
Brooklynnite,arnie88,9
Brooklynnite,Bleuizes,7
Brooklynnite,LuxuryCar50,6
Brooklynnite,rico903,6
Brooklynnite,forcep,6
Brooklynnite,PJohns,5
Brooklynnite,delphitfg,5
Brooklynnite,smilecd,4
Brooklynnite,Hondaddy,539
Brooklynnite,mlbbarry,10
Brooklynnite,firefly0576,9
Brooklynnite,12bucks,6
Brooklynnite,subutexstacy,6
Brooklynnite,TDXSP08,6
Brooklynnite,millivan,5
Brooklynnite,Jaxlast,5
Brooklynnite,denz7,5
Brooklynnite,littletwister1963,4
backsurgery2,littletwister1963,4
backsurgery2,Brooklynnite,244
backsurgery2,MartinD42,23
backsurgery2,arnie88,9
backsurgery2,Bleuizes,7
backsurgery2,LuxuryCar50,6
backsurgery2,rico903,6
backsurgery2,teresakitty2,6
backsurgery2,chkppam,5
backsurgery2,dayprogal,5
backsurgery2,denz7,4
backsurgery2,smilecd,4
backsurgery2,Hondaddy,168
backsurgery2,mlbbarry,10
backsurgery2,firefly0576,9
backsurgery2,12bucks,6
backsurgery2,subutexstacy,6
backsurgery2,TDXSP08,6
backsurgery2,forcep,6
backsurgery2,PJohns,5
backsurgery2,freedom1960,5
backsurgery2,kidsfulltimejob,4
backsurgery2,cweinbl,4
backsurgery2,PainManager007,37
backsurgery2,brooklynn45,9
backsurgery2,flacoman954,8
backsurgery2,tonihaire,6
backsurgery2,StarSweptBaby,6
backsurgery2,SilverLynn,6
backsurgery2,millivan,5
backsurgery2,Jaxlast,5
backsurgery2,delphitfg,5
backsurgery2,annette030,4
annette030,Hondaddy,147
annette030,mlbbarry,10
annette030,firefly0576,8
annette030,12bucks,6
annette030,subutexstacy,6
annette030,TDXSP08,6
annette030,forcep,6
annette030,PJohns,5
annette030,delphitfg,5
annette030,annette030,4
annette030,littletwister1963,4
annette030,backsurgery2,1198
annette030,PainManager007,36
annette030,brooklynn45,9
annette030,flacoman954,8
annette030,tonihaire,6
annette030,StarSweptBaby,6
annette030,SilverLynn,6
annette030,millivan,5
annette030,Jaxlast,5
annette030,denz7,4
annette030,smilecd,4
annette030,Brooklynnite,203
annette030,MartinD42,23
annette030,arnie88,9
annette030,Bleuizes,7
annette030,LuxuryCar50,6
annette030,rico903,6
annette030,teresakitty2,6
annette030,chkppam,5
annette030,dayprogal,5
annette030,kidsfulltimejob,4
annette030,cweinbl,4
dfwright9,mlbbarry,9
dfwright9,firefly0576,8
dfwright9,12bucks,6
dfwright9,subutexstacy,6
dfwright9,TDXSP08,5
dfwright9,forcep,5
dfwright9,PJohns,5
dfwright9,freedom1960,4
dfwright9,kidsfulltimejob,4
dfwright9,cweinbl,4
dfwright9,backsurgery2,88
dfwright9,PainManager007,26
dfwright9,brooklynn45,9
dfwright9,flacoman954,8
dfwright9,tonihaire,6
dfwright9,StarSweptBaby,6
dfwright9,SilverLynn,5
dfwright9,millivan,5
dfwright9,Jaxlast,5
dfwright9,delphitfg,4
dfwright9,annette030,4
dfwright9,littletwister1963,4
dfwright9,Brooklynnite,65
dfwright9,MartinD42,18
dfwright9,arnie88,8
dfwright9,Bleuizes,6
dfwright9,LuxuryCar50,6
dfwright9,rico903,5
dfwright9,teresakitty2,5
dfwright9,chkppam,5
dfwright9,dayprogal,5
dfwright9,denz7,4
dfwright9,smilecd,4
dfwright9,Hondaddy,58
glrhelper,firefly0576,8
glrhelper,12bucks,6
glrhelper,subutexstacy,5
glrhelper,TDXSP08,5
glrhelper,forcep,5
glrhelper,PJohns,5
glrhelper,freedom1960,4
glrhelper,kidsfulltimejob,4
glrhelper,cweinbl,4
glrhelper,backsurgery2,78
glrhelper,PainManager007,25
glrhelper,brooklynn45,8
