source,target,weight
TessMesser,wishfulthinkingmama,14
TCMG,wishfulthinkingmama,14
motherofrob,rhondajeanperry,14
Byroney_WebMD_Staff,madkat0417,13
All_is_One,Byroney_WebMD_Staff,559
All_is_One,madkat0417,13
Boyzmomee,madkat0417,13
Boyzmomee,Munch1967,13
Byroney_WebMD_Staff,Boyzmomee,12270
motherofrob,Byroney_WebMD_Staff,804
nocouchpotatoes,Byroney_WebMD_Staff,312
nocouchpotatoes,Boyzmomee,304
nocouchpotatoes,motherofrob,510
TCMG,Boyzmomee,288
TCMG,nocouchpotatoes,5195
Byroney_WebMD_Staff,Munch1967,13
motherofrob,Munch1967,12
nocouchpotatoes,Munch1967,12
TCMG,Munch1967,12
motherofrob,Seamus_mommy,12
Boyzmomee,momuv4girls,347
momuv4girls,Seamus_mommy,12
TCMG,Seamus_mommy,12
Boyzmomee,Seamus_mommy,12
momuv4girls,Starie68,12
momuv4girls,bgbillyb,12
jdsham2004,momuv4girls,255
jdsham2004,Boyzmomee,393
Boyzmomee,bgbillyb,12
jdsham2004,bgbillyb,12
Byroney_WebMD_Staff,LisaWatts,12
LisaWatts,LisaWatts,12
teeny79,chzr73,11
mmmfeelbad,sandie_law,8
mmmfeelbad,saaaaaamantha,18
ChristophorM,ConcernedSis1973,32
imhappybeingme,ChristophorM,156
imhappybeingme,ConcernedSis1973,26
imhappybeingme,teeny79,13
rooooon,ConcernedSis1973,23
rooooon,imhappybeingme,164
rooooon,teeny79,12
rooooon,ChristophorM,80
rooooon,rooooon,68993
teeny79,ChristophorM,73
teeny79,rooooon,769
teeny79,ConcernedSis1973,22
teeny79,imhappybeingme,135
ChristophorM,dutchess4jc,19
imhappybeingme,dutchess4jc,17
rooooon,dutchess4jc,16
teeny79,dutchess4jc,15
hrmonkeymom,nosoupforyou,11
hrmonkeymom,osage104,12
juicepluskids,teeny79,17
Boyzmomee,juicepluskids,934
juicepluskids,picketyfence,14
Boyzmomee,picketyfence,13
curfa,MY4YROLD,30
curfa,teeny79,24
curfa,JJRosie,34
curfa,ConcernedSis1973,16
VidaMama,ChristophorM,87
VidaMama,teeny79,26
ariauna_x,VidaMama,1487
ariauna_x,ChristophorM,82
ariauna_x,teeny79,26
Munch1967,ChristophorM,38
Munch1967,ariauna_x,70
Munch1967,teeny79,19
Munch1967,VidaMama,67
ChristophorM,nick_2109,19
VidaMama,nick_2109,16
ariauna_x,nick_2109,16
Munch1967,nick_2109,13
ChristophorM,flan421,19
ChristophorM,svaughn,19
ChristophorM,Turnbacktime,18
dmc102901,brand0n,14
Boyzmomee,dmc102901,92
Boyzmomee,brand0n,12
teeny79,chewynose,18
teeny79,saaaaaamantha,18
Boyzmomee,adayinfog,15
Melly_5977,GingerKohler,7
Melly_5977,Meowler,7
Melly_5977,elsolnj,28
Melly_5977,Byroney_WebMD_Staff,1
Melly_5977,5ackesea1,20
janimalover,rinky_dink,18
janimalover,mlleBrie,4
janimalover,airplanerv4,3
janimalover,geogator,2
janimalover,NotCrazyNow,2
janimalover,RoseDakota,2
janimalover,stevesac,1
janimalover,ellua,1
janimalover,GingerKohler,5
janimalover,tlrobe,4
janimalover,KbeLLa88,2
janimalover,pfsummers,2
janimalover,exintrovert,2
janimalover,onetogo2012,2
janimalover,DaBoyz,1
janimalover,dibbits0530,1
janimalover,33andADHD,21
janimalover,ugur64,5
janimalover,wickedabby,3
janimalover,2GreyCats,2
janimalover,blkpony,2
janimalover,steph_a,2
janimalover,troland1113,1
janimalover,xxxstar_shinexxx,1
janimalover,Byroney_WebMD_Staff,1
