"","i","j","w"
"1497",169,197,7
"3356",169,230,4
"1480",169,263,3
"2462",169,266,5
"3418",169,271,4
"1491",169,272,3
"2956",169,276,2837
"2929",169,278,5
"1418",169,279,1
"1512",169,280,5
"1772",169,282,1516
"1773",169,285,4246
"3127",169,288,5
"2433",169,291,1564
"2864",169,295,1899
"1415",169,314,2954
"2752",169,321,5
"2434",169,323,146
"3290",169,324,5
"2748",169,330,210
"3378",169,335,1006
"2078",169,338,22
"3041",169,343,5
"3070",169,345,5
"1496",169,351,7
"2435",169,357,1480
"1555",169,374,4
"2823",169,382,5
"1499",169,391,5
"2892",169,392,97
"3307",169,398,4
"1484",169,399,7
"3329",169,402,111
"3379",169,403,1693
"1782",169,409,5
"3010",169,417,8969
"1500",169,426,5
"1498",169,430,5
"1417",169,432,2281
"2860",169,461,5
"2388",169,473,5
"1774",169,474,5
"1775",169,475,1654
"2076",169,499,25
"3392",169,514,4
"1505",169,519,3
"1481",169,521,3
"3366",169,522,8511
"2075",169,525,22
"3012",169,531,9569
"1514",169,537,3
"1510",169,538,5
"2436",169,549,141
"2179",169,559,6601
"3219",169,562,5
"1504",169,563,3
"1479",169,564,3
"1487",169,567,5
"1501",169,586,3
"3482",169,590,4
"3013",169,594,4866
"3158",169,597,5
"3224",169,599,5
"3416",169,601,507
"1419",169,628,2
"3337",169,635,4
"3198",169,655,5
"2074",169,657,27
"1489",169,661,3
"1502",169,676,3
"2168",169,688,5
"3491",169,694,4
"1495",169,695,10
"3437",169,700,4
"3406",169,707,4
"2982",169,711,1609
"2499",169,714,258
"2402",169,724,5
"3328",169,735,128
"2077",169,742,30
"1776",169,747,4577
"1513",169,753,4
"1511",169,754,5
"1506",169,765,11
"3011",169,774,8032
"2851",169,776,248
"2432",169,809,150
"2723",169,813,5
"2526",171,47,38
"2525",171,70,846
"2530",171,169,40
"2528",171,314,178
"2529",171,353,46520
"2531",171,387,95310
"2527",171,746,87011
"2729",171,813,4
"4625",173,39,559
"4627",173,748,2
"2491",174,47,153
"3451",174,106,217
"3448",174,110,365
"2490",174,169,131
"3447",174,180,304
"3446",174,278,3724
"3450",174,285,357
"2494",174,291,571
"2870",174,295,305
"3449",174,314,231
"2856",174,461,5
"2869",174,537,297
"2868",174,559,299
"2489",174,754,145
"249",177,163,16
"248",177,383,34
"246",177,570,30
"247",177,752,24
"4783",179,61,3317
"4777",179,80,2245
"4784",179,192,2081
"4782",179,206,6390
"4785",179,215,956
"4771",179,274,2677
"4770",179,300,6192
"4772",179,318,1910
"4780",179,438,14389
"4774",179,457,12121
"4776",179,483,3752
"4779",179,527,849
"5110",179,530,2
"4781",179,542,10256
"4786",179,598,13072
"4778",179,616,1193
"4769",179,675,8584
"4773",179,748,891
"4775",179,773,7782
"1904",180,2,21
"3435",180,23,4
"3123",180,40,5
"1982",180,43,777
"1883",180,44,5
"2374",180,45,956
"1875",180,47,6
"1851",180,59,6
"2057",180,60,65
"3242",180,63,187
"2167",180,66,5
"3298",180,79,5
"2482",180,89,5
"2888",180,106,5333
"1907",180,118,21
"1854",180,123,6
"1863",180,130,6
"1986",180,132,47
"3133",180,154,1140
"2373",180,169,3683
"2781",180,172,5
"1874",180,175,6
"1847",180,176,10
"1850",180,181,6
"2160",180,189,58
"1858",180,199,10
"1865",180,202,6
"1853",180,221,6
"2188",180,224,5
"2117",180,228,144
"2229",180,232,5
"2230",180,240,5
"2227",180,243,3210
"3170",180,249,1039
"1872",180,255,7
"3187",180,261,5
"1879",180,262,11
"2455",180,266,5
"3419",180,271,4
"2932",180,278,5
"1984",180,279,37
"1988",180,281,39
"3155",180,282,696
"1869",180,285,10
"3128",180,288,5
"1880",180,294,10
"2161",180,295,738
"3206",180,314,5
"2789",180,316,1944
"2116",180,333,172
"2213",180,341,5
"3073",180,345,5
"2234",180,354,5
"2036",180,364,5
"1870",180,381,10
"1985",180,390,769
"2887",180,392,143
"1911",180,395,5
"1849",180,400,7
"1873",180,411,6
"1867",180,412,6
"3457",180,415,4
"3022",180,417,786
"3443",180,448,4
"3455",180,452,1029
"1405",180,455,5
"2060",180,458,5
"3172",180,464,1688
"1857",180,466,10
"3148",180,467,5
"1866",180,468,6
"2389",180,473,5
"1861",180,474,6
"3171",180,475,983
"2767",180,480,673
"2123",180,482,665
"1848",180,484,7
"1860",180,502,7
"2239",180,508,704
"3393",180,514,4
"1905",180,525,21
"3020",180,531,791
"2115",180,532,306
"3404",180,552,4
"2346",180,559,5
"3222",180,562,5
"2367",180,568,5
"1852",180,581,6
"1871",180,582,9
"3460",180,585,4
"1868",180,589,11
"3021",180,594,732
"1906",180,596,24
"3157",180,597,5
"3249",180,599,4
"3415",180,601,775
"1862",180,605,6
"2768",180,618,571
"2133",180,625,5
"3160",180,633,5
"1987",180,644,674
"3197",180,655,5
"1983",180,657,98
"2185",180,664,5
"1877",180,668,6
"1400",180,671,1
"2769",180,688,367
"2392",180,690,5
"1859",180,702,9
"3023",180,711,135
"1856",180,714,545
"1855",180,722,6
"2398",180,724,5
"1908",180,728,22
"2273",180,742,5
"1878",180,754,6
"2344",180,758,19418
"2251",180,759,5
"1864",180,771,6
"3019",180,774,778
"2800",180,776,5
"1399",180,797,1035
"3031",180,809,871
"1876",180,812,6
"2198",180,825,255
"2352",181,568,5
"2020",186,43,81
"2027",186,47,42
"2017",186,118,31
"2022",186,132,31
"2030",186,167,92
"2018",186,180,27
"2024",186,279,26
"2028",186,281,27
"2029",186,285,26
"2039",186,364,5
"2026",186,390,81
"2025",186,435,133
"2023",186,474,26
"2016",186,644,80
"2021",186,657,47
"2019",186,754,26
"5197",187,192,133531
"3275",189,2,702
"3126",189,40,5
"2962",189,47,2350
"2959",189,169,1470
"3122",189,180,174
"2960",189,276,969
"2958",189,285,1084
"3292",189,324,5
"3276",189,599,845
"2961",189,754,1102
"2634",191,47,36
"2633",191,70,357
"2635",191,78,1240
"2631",191,110,649
"2628",191,169,38
"2626",191,171,617
"2637",191,212,635
"2623",191,314,138
"2627",191,353,609
"2632",191,387,613
"2625",191,389,650
"2624",191,456,952
"2629",191,647,1813
"2630",191,709,791
"2636",191,736,689
"2622",191,746,613
"2738",191,813,4
"5354",192,4,693
"6089",192,7,2
"5250",192,9,2
"5453",192,17,2
"5862",192,21,2
"3570",192,24,2
"5430",192,38,2
"3837",192,39,2
"3836",192,42,2
"3507",192,46,3
"4460",192,51,1641
"4135",192,61,120
"5283",192,62,372
"3534",192,64,2
"3584",192,68,2
"3573",192,75,2
"4138",192,80,89
"5333",192,115,2
"3572",192,134,2
"6071",192,151,2
"5531",192,155,2
"5518",192,160,2
"4134",192,161,86
"3835",192,168,40822
"4490",192,185,3
"5196",192,187,2
"5563",192,196,2
"5138",192,198,2
"4326",192,206,724
"5544",192,208,2
"5857",192,209,2
"4538",192,211,1027
"4645",192,215,1141
"4562",192,220,515
"5526",192,236,2
"3550",192,244,2
"5282",192,259,233
"3838",192,264,9756
"4325",192,274,442
"5144",192,284,2
"5417",192,298,2
"3582",192,302,2
"5536",192,308,2
"5235",192,310,2
"3508",192,315,3
"4419",192,318,2270
"5173",192,328,1711
"4133",192,331,203
"6054",192,349,253
"5400",192,355,2
"5877",192,386,2
"5924",192,404,2
"3560",192,408,2
"3513",192,410,3
"4324",192,414,859
"3588",192,422,2
"3576",192,425,2
"6067",192,447,2
"5307",192,453,2
"3841",192,454,1738
"5357",192,470,2
"4253",192,483,3
"5233",192,486,2
"5901",192,506,2
"5174",192,513,2035
"4323",192,527,627
"5499",192,528,9756
"4137",192,529,316
"5101",192,530,2
"3839",192,540,2
"4420",192,548,954
"4243",192,550,7168
"5193",192,551,2
"5214",192,553,1457
"4244",192,576,3604
"4267",192,587,3
"3542",192,604,2
"3842",192,616,2
"3546",192,621,2
"3501",192,624,3
"5585",192,638,2
"3537",192,649,2
"6061",192,656,2
"4136",192,660,43
"5456",192,667,2
"3531",192,681,2
"5458",192,684,2
"3529",192,686,2
"3843",192,702,2
"4631",192,748,3
"4561",192,755,386
"5190",192,761,2
"5487",192,781,2
"3540",192,787,2
"3566",192,788,2
"3840",192,790,2
"4492",192,795,3
"5473",192,800,1019
"3858",192,806,3
"4142",192,818,2
"4249",192,822,3
"6074",198,61,39221
"6072",198,151,2
"5139",198,192,15267
"6070",198,616,1388
"4633",204,39,3
"4632",204,61,5865
"5132",204,206,696
"5131",204,284,3339
"5129",204,616,3263
"5130",204,660,910
"4297",206,39,2981
"4299",206,61,730
"4658",206,80,3466
"5498",206,155,2
"4378",206,161,3
"4484",206,185,3
"4661",206,192,3082
"5124",206,204,3
"4659",206,215,1124
"4300",206,274,1132
"4660",206,300,182322
"4657",206,318,2729
"4656",206,483,9050
"4302",206,527,4662
"5511",206,528,717
"5103",206,530,2
"4449",206,548,761
"4298",206,576,809
"4304",206,616,761
"5510",206,637,1083
"4303",206,660,832
"4688",206,675,95310
"4448",206,704,1413
"4628",206,748,9217
"4689",206,773,44452
"4301",206,806,764
"5512",206,818,681
"4620",209,34,3
"4339",209,39,314
"4615",209,51,15748
"4341",209,61,237
"4337",209,80,962
"4380",209,161,3
"6033",209,168,40822
"4342",209,192,679
"4343",209,206,350
"6034",209,264,5666
"4344",209,274,268
"4338",209,414,379
"5889",209,459,2
"5885",209,513,5168
"4334",209,527,326
"4340",209,576,245
"4336",209,616,240
"4335",209,660,247
"4345",209,806,240
"4346",209,818,668
"1684",210,6,6
"1702",210,47,4
"1706",210,53,8
"1692",210,67,88
"1707",210,91,6
"1694",210,109,9
"1704",210,110,65
"1711",210,141,5
"1691",210,180,4
"1712",210,194,5
"1701",210,201,4
"1713",210,205,4
"1683",210,267,8
"1695",210,269,8
"1687",210,275,5
"1689",210,279,4
"1715",210,330,58
"1700",210,362,5
"1690",210,424,4
"1703",210,474,4
"1708",210,496,6
"1705",210,517,18
"1699",210,536,5
"1682",210,544,9
"1693",210,602,26
"1688",210,622,5
"1709",210,640,5
"1755",210,685,5
"1698",210,696,5
"1714",210,701,4
"1697",210,716,6
"1685",210,725,6
"1686",210,747,5
"1710",210,754,5
"1696",210,770,6
"3787",211,22,8032
"5855",211,80,22990
"5339",211,115,2
"3776",211,135,2
"4537",211,192,3
"3772",211,259,2
"5567",211,274,21506
"3791",211,483,6431
"5856",211,513,2
"5993",211,528,910
"6024",211,530,2
"5571",211,548,2
"3788",211,560,7168
"5992",211,616,1569
"5570",211,660,1170
"5153",211,761,2
"2537",212,47,38
"2536",212,70,814
"3135",212,106,5510
"3136",212,154,391
"2534",212,169,40
"2532",212,171,21506
"3137",212,180,596
"2539",212,314,177
"2533",212,353,14815
"2535",212,387,17392
"3138",212,392,393
"3150",212,467,5
"2538",212,746,17392
"2730",212,813,4
"5572",215,4,2
"6090",215,7,2
"5539",215,9,2
"5446",215,38,2
"5309",215,39,2
"5252",215,51,1300
"5378",215,61,2210
"5594",215,80,668
"5928",215,147,2
"5383",215,161,965
"5853",215,168,1540
"5251",215,192,1204
"5581",215,220,182322
"5466",215,264,2413
"6078",215,274,1810
"5538",215,308,2
"5381",215,318,1341
"5308",215,453,2
"5253",215,483,2
"5891",215,513,33902
"4637",215,527,7547
"5431",215,528,27399
"5098",215,530,2
"5382",215,548,2963
"5554",215,550,74108
"5484",215,576,133531
"4259",215,587,3
"NA",NA,NA,NA
"5379",215,660,941
"4636",215,748,12903
"5481",215,781,2
"5311",215,818,2472
"3301",217,47,304
"5593",220,39,1203
"4548",220,61,1604
"5290",220,62,108
"4608",220,80,3
"4547",220,161,1313
"4809",220,179,22473
"4549",220,192,1340
"4816",220,206,4963
"4813",220,215,917
"5291",220,259,92
"5915",220,264,54067
"4544",220,274,1338
"4806",220,300,4843
"4817",220,318,1759
"4814",220,438,8734
"4810",220,457,7843
"4812",220,483,3210
"5289",220,513,70
"4808",220,527,818
"6043",220,528,9662
"5303",220,529,2
"5112",220,530,2
"4815",220,542,7018
"5892",220,548,4890
"4545",220,576,2574
"4820",220,598,8299
"4807",220,616,1132
"5292",220,660,153
"4821",220,675,6192
"4819",220,680,64539
"4818",220,748,857
"4543",220,755,1554
"4811",220,773,5764
"4546",220,818,1438
"266",223,104,14
"2189",224,180,3591
"4832",225,61,1338
"4847",225,80,1122
"4843",225,179,2240
"4833",225,192,1078
"4853",225,206,1660
"4834",225,215,670
"4850",225,220,2491
"4839",225,274,1220
"4838",225,300,1643
"4840",225,318,1031
"4851",225,438,1936
"4844",225,457,1889
"4846",225,483,1402
"4849",225,527,616
"5114",225,530,2
"4852",225,542,1840
"4836",225,598,1914
"4848",225,616,779
"4837",225,675,1775
"4835",225,680,2395
"4841",225,748,637
"4845",225,773,1738
"4842",225,818,4535
"2061",226,474,49
"2062",226,754,48
"492",227,1,1
"545",227,3,5
"483",227,10,3
"533",227,11,1
"479",227,25,1
"502",227,28,8
"503",227,29,1
"549",227,30,1
"555",227,33,1
"569",227,36,10
"478",227,57,1
"485",227,72,1
"573",227,73,9
"558",227,95,1
"574",227,108,1
"530",227,112,2
"1353",227,114,22
"575",227,117,2
"507",227,121,2
"511",227,140,4
"548",227,145,3
"515",227,156,1
"544",227,157,2
"526",227,159,2
"525",227,170,1
"496",227,184,1
"506",227,190,1
"537",227,193,1
"557",227,235,3
"529",227,241,1
"568",227,242,2
"504",227,248,2
"563",227,251,1
"518",227,252,1
"505",227,253,6
"547",227,258,2
"540",227,287,1
"476",227,292,2
"494",227,297,11
"532",227,299,1
"553",227,320,1
"491",227,326,1
"535",227,336,10
"560",227,339,2
"577",227,340,1
"576",227,366,7
"472",227,370,1
"546",227,373,1
"538",227,384,2
"559",227,385,1
"510",227,423,2
"477",227,427,3
"521",227,434,1
"513",227,441,2
"564",227,443,2
"501",227,450,2
"551",227,478,3
"500",227,487,1
"536",227,495,1
"486",227,509,2
"516",227,512,1
"489",227,515,2
"550",227,534,1
"531",227,535,11
"482",227,546,1
"499",227,554,1
"495",227,572,1
"519",227,574,1
"522",227,578,1
"556",227,580,1
"487",227,591,1
"471",227,611,5
"528",227,612,1
"512",227,619,1
"570",227,620,1
"488",227,623,1
"572",227,626,2
"470",227,627,2
"542",227,629,5
"562",227,631,1
"541",227,632,2
"514",227,646,3
"498",227,650,10
"539",227,651,8
"473",227,653,2
"552",227,654,1
"481",227,658,1
"517",227,669,3
"554",227,674,3
"490",227,677,202
"565",227,678,11
"527",227,710,14
"567",227,712,1
"561",227,718,1
"566",227,730,1
"484",227,732,1
"534",227,739,2
"520",227,740,3
"523",227,749,2
"524",227,768,1
"543",227,801,1
"475",227,802,1
"480",227,803,3
"571",227,804,1
"474",227,819,4
"493",227,820,2
"497",227,824,2
"508",227,826,5
"509",227,827,1
"2114",228,180,164
"2110",228,333,205
"2113",228,532,432
"2132",228,625,5
"2111",228,657,524
"756",233,1,1
"700",233,3,5
"746",233,10,3
"689",233,11,1
"426",233,12,1198
"742",233,25,1
"762",233,28,8
"763",233,29,1
"701",233,30,1
"707",233,33,1
"721",233,36,10
"738",233,57,1
"748",233,72,1
"725",233,73,9
"377",233,93,41
"710",233,95,1
"440",233,107,21
"726",233,108,1
"794",233,112,2
"380",233,114,34
"731",233,117,2
"770",233,121,2
"774",233,140,4
"703",233,145,3
"378",233,146,37
"775",233,156,1
"699",233,157,2
"790",233,159,2
"789",233,170,1
"760",233,184,1
"766",233,190,1
"693",233,193,1
"750",233,227,357
"712",233,235,2
"793",233,241,1
"724",233,242,2
"767",233,248,2
"719",233,251,1
"778",233,252,1
"768",233,253,6
"702",233,258,2
"692",233,287,1
"739",233,292,2
"381",233,297,37
"792",233,299,1
"386",233,313,21
"708",233,320,1
"751",233,326,1
"687",233,336,10
"716",233,339,2
"730",233,340,1
"729",233,366,7
"732",233,370,1
"698",233,373,1
"694",233,384,2
"715",233,385,1
"773",233,423,2
"740",233,427,3
"360",233,429,35
"373",233,431,21
"781",233,434,1
"776",233,441,2
"720",233,443,2
"765",233,450,2
"706",233,478,3
"764",233,487,1
"688",233,495,1
"749",233,509,2
"779",233,512,1
"753",233,515,2
"705",233,534,1
"791",233,535,10
"745",233,546,1
"759",233,554,1
"755",233,572,1
"782",233,574,1
"785",233,578,1
"711",233,580,1
"747",233,591,1
"734",233,611,5
"788",233,612,1
"772",233,619,1
"722",233,620,1
"752",233,623,1
"728",233,626,2
"733",233,627,2
"697",233,629,5
"714",233,631,1
"696",233,632,2
"777",233,646,3
"758",233,650,10
"691",233,651,8
"736",233,653,2
"704",233,654,1
"741",233,658,1
"361",233,663,34
"780",233,669,3
"709",233,674,3
"787",233,677,129
"754",233,678,11
"717",233,710,13
"723",233,712,1
"713",233,718,1
"718",233,730,1
"744",233,732,1
"690",233,739,2
"783",233,740,2
"786",233,749,2
"379",233,752,38
"784",233,768,1
"695",233,801,1
"735",233,802,1
"743",233,803,3
"727",233,804,1
"737",233,819,4
"757",233,820,2
"761",233,824,2
"771",233,826,5
"769",233,827,1
"5528",236,192,87011
"5527",236,818,223144
"5701",237,39,264
"5697",237,80,234
"5707",237,161,262
"5703",237,192,234
"5706",237,215,361
"5695",237,220,338
"5694",237,238,521
"5692",237,254,1990
"5698",237,367,697
"5693",237,419,553
"5700",237,528,367
"5846",237,530,2
"5708",237,616,235
"5704",237,679,636
"5702",237,748,237
"5705",237,767,523
"5699",237,783,536
"5696",237,818,244
"5600",238,39,533
"5598",238,80,426
"5604",238,161,528
"5602",238,192,426
"5603",238,215,1174
"5596",238,220,959
"5599",238,528,1245
"5840",238,530,2
"5605",238,616,428
"5601",238,748,434
"5597",238,818,458
"438",239,12,30
"445",239,107,12
"439",239,114,32
"437",239,146,33
"436",239,233,31
"435",239,297,43
"1394",239,772,35091
"2231",240,180,675
"2226",243,2,1281
"2228",243,232,5
"3551",244,192,510
"3184",249,261,5
"3164",249,475,18349
"364",250,233,46
"362",250,429,20
"374",250,431,14
"363",250,663,20
"5680",254,39,304
"5676",254,80,266
"5686",254,161,302
"5682",254,192,266
"5685",254,215,441
"5690",254,220,407
"5689",254,238,706
"5677",254,367,1071
"5688",254,419,765
"5679",254,528,451
"5845",254,530,2
"5687",254,616,267
"5683",254,679,936
"5681",254,748,269
"5684",254,767,710
"5678",254,783,734
"5691",254,818,278
"5936",257,61,74108
"5937",257,616,1455
"3771",259,19,2
"3676",259,22,2
"5265",259,61,400
"3760",259,122,2
"5263",259,161,404
"5266",259,192,252
"3655",259,211,49
"3656",259,332,48
"3774",259,483,5249
"5264",259,513,290
"5298",259,529,2
"3654",259,560,46
"5267",259,616,299
"3726",259,659,964
"5461",259,684,2
"3663",259,702,13072
"3661",259,737,12903
"5262",259,818,198
"2921",260,47,45
"2922",260,78,291
"2920",260,106,78
"2919",260,110,470
"2924",260,169,43
"2923",260,180,54
"2938",260,278,4
"2918",260,295,43
"2916",260,314,269
"2917",260,392,51
"5447",264,38,2
"3816",264,39,2
"3815",264,42,2
"5858",264,51,427
"4630",264,61,95310
"5896",264,80,4728
"5902",264,161,4040
"5471",264,168,1172
"4268",264,192,3527
"5861",264,209,2
"5434",264,215,865
"6040",264,219,2
"5898",264,220,1074
"5869",264,274,753
"5878",264,386,2
"3812",264,454,2112
"6042",264,483,2
"5904",264,506,2
"5895",264,513,921
"5435",264,528,839
"3817",264,540,2
"5897",264,548,880
"5868",264,576,741
"4273",264,587,3
"3813",264,616,2
"5432",264,660,2191
"3814",264,702,2
"5900",264,748,2
"3818",264,790,2
"5472",264,800,1027
"3855",264,806,3
"5433",264,818,685
"2447",266,47,56
"2451",266,169,312
"1403",266,180,1
"2454",266,291,260
"2446",266,323,99
"2449",266,357,257
"1406",266,455,5
"2450",266,549,97
"2453",266,559,72
"1402",266,671,1
"2448",266,720,351
"1401",266,797,1022
"2452",266,809,101
"1915",268,47,20
"1913",268,178,21
"1914",268,279,25
"1917",268,306,19
"1930",268,368,5
"1916",268,436,24
"1912",268,754,25
"3436",273,23,4
"3429",273,169,950
"3428",273,180,10471
"3427",273,314,927
"5151",274,9,2
"3851",274,39,2
"3850",274,42,2
"4056",274,51,18
"4049",274,61,18
"4598",274,62,1281
"4413",274,80,5450
"4989",274,90,2035
"4190",274,133,1338
"4984",274,153,905
"4599",274,158,1899
"4047",274,161,5935
"3849",274,168,5571
"4981",274,179,389
"3845",274,192,6473
"5561",274,196,2
"4189",274,206,122
"4055",274,209,18
"5155",274,211,11696
"4050",274,213,18
"4052",274,215,18
"4551",274,220,1630
"4985",274,225,471
"5772",274,237,1311
"5774",274,238,373
"5776",274,254,790
"3852",274,264,3899
"4988",274,300,366
"4188",274,315,244
"4414",274,318,3515
"4980",274,329,648
"6030",274,349,1022
"5984",274,350,2
"4058",274,367,261
"5876",274,386,2
"5773",274,419,389
"4986",274,438,379
"5775",274,446,2245
"3846",274,454,1369
"4982",274,457,377
"5884",274,459,2
"5358",274,470,2
"4415",274,483,32790
"5778",274,497,1784
"4051",274,513,18
"4054",274,518,19
"4186",274,527,459
"4057",274,528,18
"4104",274,530,2
"3853",274,540,2
"4987",274,542,375
"4187",274,548,139
"4053",274,550,1442
"5195",274,551,2
"4191",274,566,142
"4245",274,576,582
"4048",274,595,47
"4992",274,598,378
"4197",274,609,3
"3847",274,616,2
"5508",274,637,39221
"4059",274,660,18
"4094",274,667,226
"4993",274,675,372
"5779",274,679,428
"4991",274,680,393
"4990",274,698,657
"3848",274,702,2
"4061",274,704,18
"4062",274,748,18
"4519",274,755,1606
"5185",274,761,2
"5780",274,767,374
"4983",274,773,370
"5771",274,779,4577
"5777",274,783,380
"3844",274,790,2
"3859",274,806,3
"4060",274,818,18
"4250",274,822,3
"4979",274,823,1455
"3272",276,2,6826
"3125",276,40,5
"2963",276,47,377
"2965",276,169,344
"3121",276,180,246
"2953",276,189,5
"2964",276,285,317
"3288",276,324,5
"2967",276,754,319
"143",277,97,14
"136",277,101,91
"135",277,810,194
"2898",278,47,59
"2908",278,78,1017
"3467",278,86,9569
"2897",278,106,130
"2915",278,110,484
"2894",278,169,56
"2893",278,180,74
"2928",278,260,3384
"3445",278,285,395
"2896",278,295,55
"2903",278,314,11429
"2895",278,392,69
"3479",278,590,4
"3453",278,754,4
"2217",279,2,921
"2156",279,47,283
"2709",279,65,615
"2166",279,66,5
"2708",279,70,224
"2710",279,78,406
"2706",279,110,313
"2721",279,169,35
"2719",279,171,305
"2155",279,180,57
"2159",279,189,63
"2716",279,191,603
"2712",279,212,309
"2157",279,285,53
"2154",279,295,6515
"2714",279,314,113
"2720",279,353,303
"2802",279,382,5
"2707",279,387,304
"2718",279,389,313
"3303",279,398,5
"2717",279,456,369
"3268",279,475,5
"2762",279,480,3656
"2715",279,491,13793
"2223",279,592,5
"2830",279,597,5
"3244",279,599,5
"2763",279,618,1850
"2704",279,647,453
"2761",279,688,660
"2705",279,709,342
"2711",279,736,322
"2778",279,742,5
"2713",279,746,304
"2722",279,754,666
"2797",279,776,5
"2742",279,813,4
"2277",281,789,5
"1777",282,409,5
"1757",282,474,5
"3153",282,597,5
"5580",284,4,2
"4499",284,39,3
"5128",284,61,3724
"5577",284,161,4338
"5373",284,192,2649
"5136",284,204,2
"5127",284,206,878
"5576",284,215,135
"5575",284,349,287682
"5126",284,616,133531
"5125",284,660,1251
"5574",284,818,1275
"2265",285,2,104
"2084",285,13,133
"2088",285,47,316
"3199",285,56,5
"2940",285,85,5
"3473",285,86,2424
"1426",285,100,1
"3367",285,106,21506
"3254",285,111,5
"3116",285,116,5
"2089",285,132,127
"1439",285,166,4
"1423",285,169,28988
"2264",285,180,110
"2358",285,181,219
"2968",285,189,5
"2954",285,276,9050
"3474",285,278,3241
"1422",285,279,1
"1766",285,282,2361
"3092",285,291,238
"2262",285,295,800
"1425",285,314,2685
"2334",285,317,5
"2263",285,395,101
"1780",285,409,5
"1421",285,432,2116
"2086",285,436,581
"1764",285,474,5
"1765",285,475,2714
"2085",285,525,126
"2316",285,559,87
"2368",285,568,5
"2087",285,571,131
"3481",285,590,4
"2315",285,597,2260
"1424",285,628,2
"3191",285,655,5
"2083",285,657,1947
"2314",285,688,106
"3485",285,694,4
"3053",285,711,167
"2357",285,722,357
"2274",285,742,5
"1763",285,754,6515
"2313",285,776,1187
"3054",285,808,208
"3860",289,51,4
"3861",289,192,4
"3862",289,215,4
"3863",289,274,4
"3866",289,483,4
"3864",289,528,4
"3911",289,550,2
"3865",289,785,4
"3867",289,818,4
"2476",291,45,165
"2429",291,47,71
"2485",291,89,5
"3085",291,116,5
"2478",291,118,164
"3079",291,128,5
"2492",291,169,104
"2503",291,174,5
"2426",291,180,73
"2461",291,266,5
"2803",291,279,3017
"3207",291,285,176
"3216",291,314,4
"2425",291,323,161
"2427",291,357,27399
"2477",291,363,27399
"2824",291,382,5
"3068",291,392,5
"3064",291,475,12270
"2428",291,549,155
"2431",291,559,99
"2479",291,747,512
"2493",291,754,113
"2430",291,809,166
"5050",293,61,155
"5041",293,80,152
"5063",293,90,246
"5054",293,153,213
"5037",293,179,163
"5051",293,192,151
"5049",293,206,159
"5052",293,215,139
"5046",293,220,164
"5055",293,225,175
"5060",293,274,153
"5059",293,300,158
"5061",293,318,150
"5045",293,329,195
"5047",293,438,161
"5038",293,457,160
"5040",293,483,156
"5043",293,527,136
"5122",293,530,2
"5048",293,542,160
"5057",293,598,161
"5042",293,616,143
"5058",293,675,160
"5056",293,680,163
"5064",293,698,196
"5053",293,704,443
"5062",293,748,137
"5039",293,773,159
"5065",293,818,169
"5044",293,823,234
"2269",295,2,71
"2152",295,47,296
"2165",295,66,5
"2811",295,124,33902
"2779",295,169,1166
"2872",295,174,5
"2151",295,180,58
"2150",295,189,63
"2878",295,278,5
"2812",295,279,380
"2149",295,285,54
"2814",295,291,435
"2828",295,382,5
"2267",295,395,69
"2268",295,474,68
"2863",295,537,11976
"2780",295,559,5
"3204",295,662,5
"3050",295,711,214
"3057",295,722,5
"2276",295,742,5
"3052",295,754,225
"2813",295,776,3914
"3051",295,808,287
"2874",295,809,5
"417",296,114,45
"418",296,471,16
"434",297,12,96
"68",297,16,22
"85",297,35,288
"385",297,93,29
"14",297,99,38
"444",297,107,17
"63",297,114,734
"86",297,146,114
"384",297,233,105
"62",297,256,21
"388",297,313,17
"84",297,346,105
"71",297,356,21
"17",297,369,12
"103",297,376,17
"12",297,472,1034
"16",297,476,34
"15",297,556,14
"57",297,606,395
"56",297,744,1679
"58",297,752,174
"13",297,757,14
"4650",300,61,7168
"4647",300,80,3527
"4651",300,192,3130
"4652",300,215,1132
"4653",300,274,4728
"4654",300,318,2766
"4646",300,483,9569
"4649",300,527,984
"5102",300,530,2
"4648",300,616,1478
"4655",300,748,1040
"3497",301,552,4
"2794",303,47,118
"2795",303,180,128
"3176",303,249,888
"3188",303,261,5
"2796",303,279,112
"2793",303,316,121
"3173",303,464,1322
"3174",303,475,846
"3175",303,711,910
"2801",303,776,5
"1717",304,6,6
"1735",304,47,4
"1739",304,53,8
"1725",304,67,78
"1740",304,91,6
"1727",304,109,8
"1737",304,110,59
"1744",304,141,5
"1724",304,180,4
"1745",304,194,4
"1734",304,201,4
"1746",304,205,4
"1748",304,210,672
"1716",304,267,8
"1728",304,269,8
"1720",304,275,5
"1722",304,279,4
"1749",304,330,53
"1733",304,362,5
"1723",304,424,4
"1736",304,474,4
"1741",304,496,6
"1738",304,517,18
"1732",304,536,5
"1750",304,544,9
"1726",304,602,25
"1721",304,622,5
"1742",304,640,5
"1756",304,685,5
"1731",304,696,5
"1747",304,701,4
"1730",304,716,5
"1718",304,725,5
"1719",304,747,5
"1743",304,754,5
"1729",304,770,6
"5834",305,39,107
"5828",305,80,102
"5819",305,161,107
"5836",305,192,102
"5818",305,215,120
"5826",305,220,118
"5815",305,237,181
"5825",305,238,134
"5823",305,254,166
"5829",305,274,210
"5831",305,367,143
"5824",305,419,136
"5822",305,446,192
"5830",305,497,188
"5833",305,528,121
